Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Trainer;Kategorie;Beschreibung;Sparte;Trainerzahl
SRB1;Bachata Einstieg Regensburg;18:00:00;19:00:00;Freitag;Regensburg;,078,;Ferienkurs;;Salsa Regensburg;1
SRB2;Bachata Aufbau Regensburg;19:00:00;20:00:00;Freitag;Regensburg;,067,,106,;Ferienkurs;;Salsa Regensburg;2
SR2;Salsa Aufbau Regensburg;20:00:00;21:00:00;Freitag;Regensburg;,067,,106,;Ferienkurs;;Salsa Regensburg;2
FZ4;Zumba;09:00:00;10:00:00;Mittwoch;ARTICO 1er;,024,;Ferienkurs;;Fitness und Gesundheit;1
FReh;Reha-Sport Mi;10:00:00;10:45:00;Mittwoch;ARTICO 1er;,024,;Ferienkurs;;Fitness und Gesundheit;1
AL2;SVE-Turnen;13:15:00;14:45:00;Mittwoch;ARTICO 1er;,001,;;;Projekt;1
C33;Circussternchen;15:45:00;16:30:00;Mittwoch;ARTICO 1er;,006,,043,;;;Circus;2
C92;Einrad Spezial;18:00:00;19:00:00;Mittwoch;ARTICO 1er;,006,,044,;;;Circus;2
FP2;Pilates;18:30:00;19:30:00;Mittwoch;ARTICO 1er;,003,,088,;Ferienkurs;;Fitness und Gesundheit;1
S42;Bachata;19:00:00;20:30:00;Mittwoch;ARTICO 1er;,007,,014,;Ferienkurs;;Salsa L.A.;2
FP3;Powerpilates;19:30:00;20:30:00;Mittwoch;ARTICO 1er;,003,,088,;Ferienkurs;;Fitness und Gesundheit;1
S31;Salsa LA Advanced;20:30:00;22:00:00;Mittwoch;ARTICO 1er;,014,,007,;Ferienkurs;;Salsa L.A.;2
FZ5;Zumba;16:00:00;17:00:00;Mittwoch;ARTICO 2er;,018,;Ferienkurs;;Fitness und Gesundheit;1
B41;Ballett Arabesque;17:00:00;18:00:00;Mittwoch;ARTICO 2er;,014,;;;Ballett;1
S71;Ladystyling;18:00:00;19:00:00;Mittwoch;ARTICO 2er;,014,;Ferienkurs;;Salsa L.A.;1
I2;Irish Dance, Fortgeschritten;19:00:00;21:00:00;Mittwoch;ARTICO 2er;,023,;;;Irish Step;1
C43;Circuskids;15:15:00;16:15:00;Mittwoch;ARTICO 3er;,013,,045,,038,;;;Circus;3
C44;Circuskids;16:15:00;17:15:00;Mittwoch;ARTICO 3er;,013,,045,;;;Circus;2
C62;Circusteens;17:15:00;18:15:00;Mittwoch;ARTICO 3er;,013,,045,;;;Circus;2
KG1;Rückbildung1;09:15:00;10:15:00;Mittwoch;ARTICO 4er;,010,;;Spartenlos weil nicht im Wochenplan;;1
KG2;Rückbildung2;10:15:00;11:15:00;Mittwoch;ARTICO 4er;,010,;;Spartenlos weil nicht im Wochenplan;;1
B82;Ballett Leistungsklasse;15:30:00;17:00:00;Mittwoch;ARTICO 4er;,012,;;;Ballett;1
B91;Ballett Advanced;17:00:00;19:00:00;Mittwoch;ARTICO 4er;,012,;;;Ballett;1
FY1;Yoga;18:30:00;19:30:00;Mittwoch;ARTICO 4er;,028,;;;Fitness und Gesundheit;1
MH1;HipHop Kids;15:00:00;16:00:00;Mittwoch;ARTICO 5er;,007,;;;Modern;1
MH3;HipHop Juniors;16:00:00;17:00:00;Mittwoch;ARTICO 5er;,007,;;;Modern;1
MH5;HipHop Fortgeschritten;17:00:00;18:00:00;Mittwoch;ARTICO 5er;,007,;;;Modern;1
CB1;Circussternchen Berching;15:45:00;16:30:00;Mittwoch;Berching;,005,,048,;;;Circus;2
CB2;Circussternchen Berching;15:45:00;16:30:00;Mittwoch;Berching;,049,,001,;;;Circus;2
CB3;Circuskids Berching;16:30:00;17:30:00;Mittwoch;Berching;,005,,048,;;;Circus;2
CB4;Circuskids Berching;16:30:00;17:30:00;Mittwoch;Berching;,049,,001,;;;Circus;2
CB5;Circusjuniors Berching;17:30:00;18:30:00;Mittwoch;Berching;,005,,001,,048,,049,;;;Circus;4
CBfa;Fahrt nach Berching 1h;14:45:00;15:45:00;Mittwoch;on the road;,048,,049,;;;Circus;2
CP1;Circussternchen Postbauer-Heng;15:15:00;16:00:00;Mittwoch;Postbauer-Heng;,030,,047,,088,;;;Circus;3
CP2;Circuskids Postbauer-Heng;16:00:00;17:00:00;Mittwoch;Postbauer-Heng;,030,,047,,088,;;;Circus;3
AL1;SVE-Tanz;14:15:00;15:15:00;Mittwoch;Sonderpädagogisches Förderzentrum;,020,;;;Projekt;1
FZ1;Zumba;09:00:00;10:00:00;Montag;ARTICO 1er;,024,;Ferienkurs;;Fitness und Gesundheit;1
CT1;Turngarten;10:15:00;11:00:00;Montag;ARTICO 1er;,009,;;;Circus;1
C31;Circussternchen;14:15:00;15:00:00;Montag;ARTICO 1er;,009,,033,,034,;;;Circus;3
C32;Circussternchen;15:00:00;15:45:00;Montag;ARTICO 1er;,009,,033,,034,;;;Circus;3
C21;Circusminis;15:45:00;16:30:00;Montag;ARTICO 1er;,009,,035,;;;Circus;2
0;Spezialkurs nur 15min;16:15:00;16:30:00;Montag;ARTICO 1er;,071,;;dieser Kurs ist nicht existent, nur Mittel zur Abrechnung;Circus;1
C51;Circusjuniors;16:30:00;17:30:00;Montag;ARTICO 1er;,009,,071,,035,;;;Circus;3
Kaskadas;ja was denn?;16:30:00;17:15:00;Montag;ARTICO 1er;,006,,044,;;;Circusverein;2
Kaskadas;ja was denn?;17:15:00;18:00:00;Montag;ARTICO 1er;,006,,044,;;;Circusverein;2
FZ2;Zumba/DanceFitness;17:30:00;18:30:00;Montag;ARTICO 1er;,018,;;;Fitness und Gesundheit;1
G21;Tanzkreis;20:30:00;21:30:00;Montag;ARTICO 1er;,005,;;;Gesellschaftstanz;1
KG3;Rüdiger;14:00:00;14:45:00;Montag;ARTICO 2er;;;Externe Raumbelegung;;0
O1;Einsteiger Bauchtanz;19:00:00;20:00:00;Montag;ARTICO 2er;,022,;;;Orientalischer Tanz;1
O2;Orientalischer Tanz;20:00:00;21:15:00;Montag;ARTICO 2er;,022,;;;Orientalischer Tanz;1
C11;Circuszwerge;15:30:00;16:15:00;Montag;ARTICO 3er;,071,,113,;;;Circus;2
C41;Circuskids;16:30:00;17:30:00;Montag;ARTICO 3er;,017,,085,,048,;;;Circus;3
Codys;Turnen & Tanz;18:00:00;18:45:00;Montag;ARTICO 3er;,017,,085,;;;Circusverein;2
FReh;Reha-Sport Mo;19:00:00;19:45:00;Montag;ARTICO 3er;,037,;;;Fitness und Gesundheit;1
B51;Ballett Jetés;14:45:00;15:45:00;Montag;ARTICO 4er;,012,;;;Ballett;1
B81;Ballett Attitude;15:45:00;17:15:00;Montag;ARTICO 4er;,012,;;;Ballett;1
B61;Ballett Relevés;17:15:00;18:15:00;Montag;ARTICO 4er;,012,;;;Ballett;1
